name,year,total_loan,average_loan (in years),appearances,starting_formation,goals,average_minutes_played,market_value_at_start (in M €),market_value_at_end (in M €)
Villarreal CF,2019,12,"2,0",267,225,41,87',75.65,53.33
FC Barcelona,2019,11,"1,0",229,160,23,86',183.00,141.40
Real Betis Balompié,2019,10,"1,0",178,123,17,83',81.30,62.85
Levante UD,2019,10,"1,0",185,160,31,86',11.90,13.70
Real Valladolid CF,2019,9,"1,0",168,130,26,81',4.75,4.65
Valencia CF,2019,9,"1,0",179,109,8,86',31.90,24.98
Getafe CF,2019,9,"1,0",199,139,18,87',9.90,8.00
Atlético de Madrid,2019,8,"2,0",152,129,26,89',28.90,31.60
Real Sociedad,2019,8,"1,0",189,163,24,89',22.15,17.03
CA Osasuna,2019,6,"1,0",100,58,11,81',3.50,3.20
SD Eibar,2019,6,"1,0",126,67,6,86',4.25,3.93
Athletic Bilbao,2019,5,"1,0",124,94,8,89',7.70,6.00
Celta de Vigo,2019,5,"1,0",63,42,1,86',7.80,5.80
RCD Espanyol Barcelona,2019,3,"1,0",56,46,7,89',2.90,2.43
Granada CF,2019,3,"1,0",33,27,-,87',1.70,1.33
Real Valladolid CF,2020,14,"1,0",312,204,17,86',6.45,6.45
Real Madrid,2020,13,"1,0",289,155,49,81',252.00,262.50
Villarreal CF,2020,11,"1,0",274,228,31,89',28.85,35.60
Cádiz CF,2020,11,"1,0",206,150,13,73',6.48,5.35
Atlético de Madrid,2020,10,"1,0",185,135,36,81',78.50,65.40
Sevilla FC,2020,10,"1,0",267,223,20,86',43.95,62.98
Deportivo Alavés,2020,10,"1,0",243,208,30,84',4.48,9.15
FC Barcelona,2020,6,"1,0",121,97,8,84',52.60,56.00
CA Osasuna,2020,5,"1,0",112,58,8,67',3.40,2.80
Celta de Vigo,2020,5,"1,0",126,69,6,87',10.65,10.30
Valencia CF,2020,5,"1,0",23,17,1,73',15.75,10.30
Levante UD,2020,5,"1,0",124,100,9,90',4.70,5.10
Getafe CF,2020,5,"1,0",91,67,23,79',6.70,11.00
SD Huesca,2020,5,"1,0",79,48,6,87',1.90,2.35
SD Eibar,2020,4,"1,0",82,53,11,84',4.93,3.80
Real Betis Balompié,2020,3,"1,0",69,62,11,89',2.00,3.60
Athletic Bilbao,2020,3,"1,0",53,37,2,64',3.70,4.50
Real Sociedad,2020,2,"1,0",42,25,2,88',22.40,21.50
Elche CF,2020,2,"1,0",49,40,9,81',0.8,0.55
Granada CF,2020,2,"1,0",46,25,7,72',3.30,2.30
